order_id,customer_id,order_date,status,item_id,product_id,quantity,product_name,category,unit_price,customer_name,email,city,registration_date,revenue
9,9,2024-01-13,processing,23,25,2,Sports Water Bottle,Sports,14.0,Tariq Obeidat,tariq.obeidat@email.com,Amman,2023-04-02,28.0
10,10,2024-01-14,completed,24,9,1,Wool Scarf,Clothing,25.0,Hana Suleiman,hana.suleiman@email.com,Irbid,2023-04-10,25.0
10,10,2024-01-14,completed,25,18,1,Designing Data-Intensive Apps,Books,62.0,Hana Suleiman,hana.suleiman@email.com,Irbid,2023-04-10,62.0
10,10,2024-01-14,completed,26,30,2,Mansaf Spice Kit,Food & Beverage,15.0,Hana Suleiman,hana.suleiman@email.com,Irbid,2023-04-10,30.0
11,1,2024-01-15,completed,27,1,1,Wireless Bluetooth Earbuds,Electronics,45.0,Ahmad Al-Masri,ahmad.masri@email.com,Amman,2023-01-15,45.0
11,1,2024-01-15,completed,28,23,2,Jump Rope,Sports,12.0,Ahmad Al-Masri,ahmad.masri@email.com,Amman,2023-01-15,24.0
12,11,2024-01-16,completed,29,13,1,Stainless Steel Water Bottle,Home & Garden,22.0,Sami Al-Rawashdeh,sami.rawashdeh@email.com,Zarqa,2023-04-18,22.0
12,11,2024-01-16,completed,30,19,1,The Pragmatic Programmer,Books,48.0,Sami Al-Rawashdeh,sami.rawashdeh@email.com,Zarqa,2023-04-18,48.0
12,11,2024-01-16,completed,31,6,2,Cotton T-Shirt,Clothing,18.0,Sami Al-Rawashdeh,sami.rawashdeh@email.com,Zarqa,2023-04-18,36.0
14,13,2024-01-18,completed,34,8,2,Running Shoes,Clothing,78.0,Mazen Tawalbeh,mazen.tawalbeh@email.com,Amman,2023-05-05,156.0
14,13,2024-01-18,completed,35,12,1,LED Desk Lamp,Home & Garden,42.0,Mazen Tawalbeh,mazen.tawalbeh@email.com,Amman,2023-05-05,42.0
15,14,2024-01-19,shipped,36,16,1,Introduction to Algorithms,Books,85.0,Rana Abu-Ghazaleh,rana.abughazaleh@email.com,Aqaba,2023-05-14,85.0
15,14,2024-01-19,shipped,37,3,1,Portable Power Bank 10000mAh,Electronics,32.0,Rana Abu-Ghazaleh,rana.abughazaleh@email.com,Aqaba,2023-05-14,32.0
15,14,2024-01-19,shipped,38,21,1,Yoga Mat,Sports,28.0,Rana Abu-Ghazaleh,rana.abughazaleh@email.com,Aqaba,2023-05-14,28.0
16,15,2024-01-20,completed,39,7,1,Denim Jeans,Clothing,52.0,Fadi Al-Zoubi,fadi.zoubi@email.com,Amman,2023-05-22,52.0
16,15,2024-01-20,completed,40,28,3,Medjool Dates 1kg,Food & Beverage,32.0,Fadi Al-Zoubi,fadi.zoubi@email.com,Amman,2023-05-22,96.0
17,16,2024-01-21,completed,41,5,2,Webcam HD 1080p,Electronics,55.0,Mona Batayneh,mona.batayneh@email.com,Irbid,2023-06-01,110.0
17,16,2024-01-21,completed,42,10,1,Leather Belt,Clothing,30.0,Mona Batayneh,mona.batayneh@email.com,Irbid,2023-06-01,30.0
18,17,2024-01-22,completed,43,15,1,Cotton Bed Sheet Set,Home & Garden,48.0,Waleed Shraideh,waleed.shraideh@email.com,Salt,2023-06-10,48.0
18,17,2024-01-22,completed,44,22,2,Resistance Band Set,Sports,19.0,Waleed Shraideh,waleed.shraideh@email.com,Salt,2023-06-10,38.0
18,17,2024-01-22,completed,45,27,1,Jordanian Olive Oil 1L,Food & Beverage,24.0,Waleed Shraideh,waleed.shraideh@email.com,Salt,2023-06-10,24.0
19,18,2024-01-23,processing,46,2,4,USB-C Charging Cable,Electronics,8.5,Lina Al-Omari,lina.omari@email.com,Unknown,2023-06-18,34.0
19,18,2024-01-23,processing,47,9,1,Wool Scarf,Clothing,25.0,Lina Al-Omari,lina.omari@email.com,Unknown,2023-06-18,25.0
20,19,2024-01-24,completed,48,18,1,Designing Data-Intensive Apps,Books,62.0,Ibrahim Jaradat,ibrahim.jaradat@email.com,Madaba,2023-06-25,62.0
20,19,2024-01-24,completed,49,24,2,Dumbbell Pair 5kg,Sports,35.0,Ibrahim Jaradat,ibrahim.jaradat@email.com,Madaba,2023-06-25,70.0
20,19,2024-01-24,completed,50,30,1,Mansaf Spice Kit,Food & Beverage,15.0,Ibrahim Jaradat,ibrahim.jaradat@email.com,Madaba,2023-06-25,15.0
21,20,2024-01-25,completed,51,1,3,Wireless Bluetooth Earbuds,Electronics,45.0,Samar Ababneh,samar.ababneh@email.com,Amman,2023-07-03,135.0
21,20,2024-01-25,completed,52,14,1,Kitchen Knife Set,Home & Garden,65.0,Samar Ababneh,samar.ababneh@email.com,Amman,2023-07-03,65.0
23,22,2024-01-27,completed,56,11,1,Ceramic Plant Pot,Home & Garden,15.0,Yasmin Al-Sharif,yasmin.sharif@email.com,Amman,2023-07-20,15.0
23,22,2024-01-27,completed,57,17,2,Python Data Science Handbook,Books,55.0,Yasmin Al-Sharif,yasmin.sharif@email.com,Amman,2023-07-20,110.0
24,23,2024-01-28,shipped,58,3,1,Portable Power Bank 10000mAh,Electronics,32.0,Basil Malkawi,basil.malkawi@email.com,Irbid,2023-07-28,32.0
24,23,2024-01-28,shipped,59,25,3,Sports Water Bottle,Sports,14.0,Basil Malkawi,basil.malkawi@email.com,Irbid,2023-07-28,42.0
25,24,2024-01-29,completed,60,8,1,Running Shoes,Clothing,78.0,Reem Gharaibeh,reem.gharaibeh@email.com,Unknown,2023-08-05,78.0
25,24,2024-01-29,completed,61,13,1,Stainless Steel Water Bottle,Home & Garden,22.0,Reem Gharaibeh,reem.gharaibeh@email.com,Unknown,2023-08-05,22.0
25,24,2024-01-29,completed,62,26,2,Arabic Coffee Blend 500g,Food & Beverage,18.0,Reem Gharaibeh,reem.gharaibeh@email.com,Unknown,2023-08-05,36.0
26,25,2024-01-30,completed,63,16,1,Introduction to Algorithms,Books,85.0,Nidal Fraihat,nidal.fraihat@email.com,Aqaba,2023-08-14,85.0
26,25,2024-01-30,completed,64,22,1,Resistance Band Set,Sports,19.0,Nidal Fraihat,nidal.fraihat@email.com,Aqaba,2023-08-14,19.0
27,26,2024-02-01,completed,65,4,2,Mechanical Keyboard,Electronics,89.0,Asma Qudah,asma.qudah@email.com,Amman,2023-08-22,178.0
27,26,2024-02-01,completed,66,10,1,Leather Belt,Clothing,30.0,Asma Qudah,asma.qudah@email.com,Amman,2023-08-22,30.0
27,26,2024-02-01,completed,67,28,1,Medjool Dates 1kg,Food & Beverage,32.0,Asma Qudah,asma.qudah@email.com,Amman,2023-08-22,32.0
28,27,2024-02-02,completed,68,7,1,Denim Jeans,Clothing,52.0,Zaid Al-Momani,zaid.momani@email.com,Salt,2023-09-01,52.0
28,27,2024-02-02,completed,69,19,1,The Pragmatic Programmer,Books,48.0,Zaid Al-Momani,zaid.momani@email.com,Salt,2023-09-01,48.0
29,28,2024-02-03,shipped,70,2,1,USB-C Charging Cable,Electronics,8.5,Jumana Tarawneh,jumana.tarawneh@email.com,Madaba,2023-09-10,8.5
29,28,2024-02-03,shipped,71,15,2,Cotton Bed Sheet Set,Home & Garden,48.0,Jumana Tarawneh,jumana.tarawneh@email.com,Madaba,2023-09-10,96.0
29,28,2024-02-03,shipped,72,24,1,Dumbbell Pair 5kg,Sports,35.0,Jumana Tarawneh,jumana.tarawneh@email.com,Madaba,2023-09-10,35.0
30,29,2024-02-04,completed,73,5,1,Webcam HD 1080p,Electronics,55.0,Rashid Al-Ajlouni,rashid.ajlouni@email.com,Amman,2023-09-18,55.0
30,29,2024-02-04,completed,74,12,1,LED Desk Lamp,Home & Garden,42.0,Rashid Al-Ajlouni,rashid.ajlouni@email.com,Amman,2023-09-18,42.0
32,1,2024-02-06,completed,78,1,1,Wireless Bluetooth Earbuds,Electronics,45.0,Ahmad Al-Masri,ahmad.masri@email.com,Amman,2023-01-15,45.0
32,1,2024-02-06,completed,79,18,1,Designing Data-Intensive Apps,Books,62.0,Ahmad Al-Masri,ahmad.masri@email.com,Amman,2023-01-15,62.0
33,2,2024-02-07,completed,80,14,1,Kitchen Knife Set,Home & Garden,65.0,Fatima Al-Husseini,fatima.husseini@email.com,Irbid,2023-01-22,65.0
33,2,2024-02-07,completed,81,23,2,Jump Rope,Sports,12.0,Fatima Al-Husseini,fatima.husseini@email.com,Irbid,2023-01-22,24.0
33,2,2024-02-07,completed,82,30,1,Mansaf Spice Kit,Food & Beverage,15.0,Fatima Al-Husseini,fatima.husseini@email.com,Irbid,2023-01-22,15.0
34,3,2024-02-08,processing,83,6,3,Cotton T-Shirt,Clothing,18.0,Omar Khalifeh,omar.khalifeh@email.com,Zarqa,2023-02-03,54.0
34,3,2024-02-08,processing,84,11,1,Ceramic Plant Pot,Home & Garden,15.0,Omar Khalifeh,omar.khalifeh@email.com,Zarqa,2023-02-03,15.0
35,4,2024-02-09,completed,85,3,1,Portable Power Bank 10000mAh,Electronics,32.0,Layla Abdallah,layla.abdallah@email.com,Amman,2023-02-10,32.0
35,4,2024-02-09,completed,86,16,1,Introduction to Algorithms,Books,85.0,Layla Abdallah,layla.abdallah@email.com,Amman,2023-02-10,85.0
36,5,2024-02-10,completed,87,8,2,Running Shoes,Clothing,78.0,Khaled Nasser,khaled.nasser@email.com,Unknown,2023-02-18,156.0
36,5,2024-02-10,completed,88,20,1,Clean Code,Books,42.0,Khaled Nasser,khaled.nasser@email.com,Unknown,2023-02-18,42.0
36,5,2024-02-10,completed,89,25,1,Sports Water Bottle,Sports,14.0,Khaled Nasser,khaled.nasser@email.com,Unknown,2023-02-18,14.0
37,31,2024-02-11,completed,90,13,1,Stainless Steel Water Bottle,Home & Garden,22.0,Ayman Daradkeh,ayman.daradkeh@email.com,Unknown,2023-10-03,22.0
37,31,2024-02-11,completed,91,29,2,Za'atar Spice Mix 250g,Food & Beverage,9.5,Ayman Daradkeh,ayman.daradkeh@email.com,Unknown,2023-10-03,19.0
38,32,2024-02-12,shipped,92,4,1,Mechanical Keyboard,Electronics,89.0,Ghada Nsour,ghada.nsour@email.com,Irbid,2023-10-12,89.0
38,32,2024-02-12,shipped,93,17,1,Python Data Science Handbook,Books,55.0,Ghada Nsour,ghada.nsour@email.com,Irbid,2023-10-12,55.0
38,32,2024-02-12,shipped,94,22,1,Resistance Band Set,Sports,19.0,Ghada Nsour,ghada.nsour@email.com,Irbid,2023-10-12,19.0
39,33,2024-02-13,completed,95,7,1,Denim Jeans,Clothing,52.0,Mahmoud Al-Azza,mahmoud.azza@email.com,Amman,2023-10-20,52.0
39,33,2024-02-13,completed,96,26,4,Arabic Coffee Blend 500g,Food & Beverage,18.0,Mahmoud Al-Azza,mahmoud.azza@email.com,Amman,2023-10-20,72.0
40,34,2024-02-14,completed,97,10,1,Leather Belt,Clothing,30.0,Suha Masarweh,suha.masarweh@email.com,Aqaba,2023-10-28,30.0
40,34,2024-02-14,completed,98,15,1,Cotton Bed Sheet Set,Home & Garden,48.0,Suha Masarweh,suha.masarweh@email.com,Aqaba,2023-10-28,48.0
42,36,2024-02-16,completed,102,5,1,Webcam HD 1080p,Electronics,55.0,Abeer Al-Tamimi,abeer.tamimi@email.com,Amman,2023-11-14,55.0
42,36,2024-02-16,completed,103,24,3,Dumbbell Pair 5kg,Sports,35.0,Abeer Al-Tamimi,abeer.tamimi@email.com,Amman,2023-11-14,105.0
43,37,2024-02-17,completed,104,9,1,Wool Scarf,Clothing,25.0,Muhannad Awamleh,muhannad.awamleh@email.com,Unknown,2023-11-22,25.0
43,37,2024-02-17,completed,105,12,1,LED Desk Lamp,Home & Garden,42.0,Muhannad Awamleh,muhannad.awamleh@email.com,Unknown,2023-11-22,42.0
44,38,2024-02-18,processing,106,1,1,Wireless Bluetooth Earbuds,Electronics,45.0,Sawsan Majali,sawsan.majali@email.com,Madaba,2023-12-01,45.0
44,38,2024-02-18,processing,107,21,2,Yoga Mat,Sports,28.0,Sawsan Majali,sawsan.majali@email.com,Madaba,2023-12-01,56.0
44,38,2024-02-18,processing,108,30,1,Mansaf Spice Kit,Food & Beverage,15.0,Sawsan Majali,sawsan.majali@email.com,Madaba,2023-12-01,15.0
45,39,2024-02-19,completed,109,14,1,Kitchen Knife Set,Home & Garden,65.0,Tamer Zu'bi,tamer.zubi@email.com,Amman,2023-12-10,65.0
45,39,2024-02-19,completed,110,27,1,Jordanian Olive Oil 1L,Food & Beverage,24.0,Tamer Zu'bi,tamer.zubi@email.com,Amman,2023-12-10,24.0
46,40,2024-02-20,completed,111,6,2,Cotton T-Shirt,Clothing,18.0,Huda Al-Karaki,huda.karaki@email.com,Irbid,2023-12-18,36.0
46,40,2024-02-20,completed,112,16,1,Introduction to Algorithms,Books,85.0,Huda Al-Karaki,huda.karaki@email.com,Irbid,2023-12-18,85.0
46,40,2024-02-20,completed,113,23,1,Jump Rope,Sports,12.0,Huda Al-Karaki,huda.karaki@email.com,Irbid,2023-12-18,12.0
47,1,2024-03-01,completed,114,3,1,Portable Power Bank 10000mAh,Electronics,32.0,Ahmad Al-Masri,ahmad.masri@email.com,Amman,2023-01-15,32.0
47,1,2024-03-01,completed,115,11,2,Ceramic Plant Pot,Home & Garden,15.0,Ahmad Al-Masri,ahmad.masri@email.com,Amman,2023-01-15,30.0
48,6,2024-03-02,shipped,116,8,1,Running Shoes,Clothing,78.0,Rania Al-Khatib,rania.khatib@email.com,Aqaba,2023-03-01,78.0
48,6,2024-03-02,shipped,117,18,1,Designing Data-Intensive Apps,Books,62.0,Rania Al-Khatib,rania.khatib@email.com,Aqaba,2023-03-01,62.0
48,6,2024-03-02,shipped,118,25,2,Sports Water Bottle,Sports,14.0,Rania Al-Khatib,rania.khatib@email.com,Aqaba,2023-03-01,28.0
49,9,2024-03-03,completed,119,13,1,Stainless Steel Water Bottle,Home & Garden,22.0,Tariq Obeidat,tariq.obeidat@email.com,Amman,2023-04-02,22.0
49,9,2024-03-03,completed,120,20,1,Clean Code,Books,42.0,Tariq Obeidat,tariq.obeidat@email.com,Amman,2023-04-02,42.0
50,10,2024-03-04,completed,121,4,2,Mechanical Keyboard,Electronics,89.0,Hana Suleiman,hana.suleiman@email.com,Irbid,2023-04-10,178.0
50,10,2024-03-04,completed,122,29,1,Za'atar Spice Mix 250g,Food & Beverage,9.5,Hana Suleiman,hana.suleiman@email.com,Irbid,2023-04-10,9.5
50,10,2024-03-04,completed,123,7,1,Denim Jeans,Clothing,52.0,Hana Suleiman,hana.suleiman@email.com,Irbid,2023-04-10,52.0
52,20,2024-03-06,completed,127,17,1,Python Data Science Handbook,Books,55.0,Samar Ababneh,samar.ababneh@email.com,Amman,2023-07-03,55.0
52,20,2024-03-06,completed,128,5,1,Webcam HD 1080p,Electronics,55.0,Samar Ababneh,samar.ababneh@email.com,Amman,2023-07-03,55.0
53,22,2024-03-07,completed,129,8,2,Running Shoes,Clothing,78.0,Yasmin Al-Sharif,yasmin.sharif@email.com,Amman,2023-07-20,156.0
53,22,2024-03-07,completed,130,22,1,Resistance Band Set,Sports,19.0,Yasmin Al-Sharif,yasmin.sharif@email.com,Amman,2023-07-20,19.0
53,22,2024-03-07,completed,131,28,3,Medjool Dates 1kg,Food & Beverage,32.0,Yasmin Al-Sharif,yasmin.sharif@email.com,Amman,2023-07-20,96.0
54,25,2024-03-08,processing,132,14,1,Kitchen Knife Set,Home & Garden,65.0,Nidal Fraihat,nidal.fraihat@email.com,Aqaba,2023-08-14,65.0
54,25,2024-03-08,processing,133,3,1,Portable Power Bank 10000mAh,Electronics,32.0,Nidal Fraihat,nidal.fraihat@email.com,Aqaba,2023-08-14,32.0
55,28,2024-03-09,completed,134,6,1,Cotton T-Shirt,Clothing,18.0,Jumana Tarawneh,jumana.tarawneh@email.com,Madaba,2023-09-10,18.0
55,28,2024-03-09,completed,135,20,2,Clean Code,Books,42.0,Jumana Tarawneh,jumana.tarawneh@email.com,Madaba,2023-09-10,84.0
56,30,2024-03-10,completed,136,12,1,LED Desk Lamp,Home & Garden,42.0,Nisreen Bakri,nisreen.bakri@email.com,Zarqa,2023-09-25,42.0
56,30,2024-03-10,completed,137,24,1,Dumbbell Pair 5kg,Sports,35.0,Nisreen Bakri,nisreen.bakri@email.com,Zarqa,2023-09-25,35.0
56,30,2024-03-10,completed,138,30,1,Mansaf Spice Kit,Food & Beverage,15.0,Nisreen Bakri,nisreen.bakri@email.com,Zarqa,2023-09-25,15.0
57,33,2024-03-11,shipped,139,9,3,Wool Scarf,Clothing,25.0,Mahmoud Al-Azza,mahmoud.azza@email.com,Amman,2023-10-20,75.0
57,33,2024-03-11,shipped,140,15,1,Cotton Bed Sheet Set,Home & Garden,48.0,Mahmoud Al-Azza,mahmoud.azza@email.com,Amman,2023-10-20,48.0
58,35,2024-03-12,completed,141,2,1,USB-C Charging Cable,Electronics,8.5,Raed Habashneh,raed.habashneh@email.com,Salt,2023-11-05,8.5
58,35,2024-03-12,completed,142,19,1,The Pragmatic Programmer,Books,48.0,Raed Habashneh,raed.habashneh@email.com,Salt,2023-11-05,48.0
58,35,2024-03-12,completed,143,27,2,Jordanian Olive Oil 1L,Food & Beverage,24.0,Raed Habashneh,raed.habashneh@email.com,Salt,2023-11-05,48.0
59,38,2024-03-13,completed,144,7,1,Denim Jeans,Clothing,52.0,Sawsan Majali,sawsan.majali@email.com,Madaba,2023-12-01,52.0
59,38,2024-03-13,completed,145,11,1,Ceramic Plant Pot,Home & Garden,15.0,Sawsan Majali,sawsan.majali@email.com,Madaba,2023-12-01,15.0
61,41,2024-03-15,completed,149,1,1,Wireless Bluetooth Earbuds,Electronics,45.0,Osama Louzi,osama.louzi@email.com,Zarqa,2024-01-05,45.0
61,41,2024-03-15,completed,150,13,2,Stainless Steel Water Bottle,Home & Garden,22.0,Osama Louzi,osama.louzi@email.com,Zarqa,2024-01-05,44.0
62,42,2024-03-16,completed,151,21,1,Yoga Mat,Sports,28.0,Rula Shobaki,rula.shobaki@email.com,Amman,2024-01-14,28.0
62,42,2024-03-16,completed,152,25,1,Sports Water Bottle,Sports,14.0,Rula Shobaki,rula.shobaki@email.com,Amman,2024-01-14,14.0
62,42,2024-03-16,completed,153,29,1,Za'atar Spice Mix 250g,Food & Beverage,9.5,Rula Shobaki,rula.shobaki@email.com,Amman,2024-01-14,9.5
63,43,2024-03-17,processing,154,5,1,Webcam HD 1080p,Electronics,55.0,Bilal Faouri,bilal.faouri@email.com,Unknown,2024-01-22,55.0
63,43,2024-03-17,processing,155,18,2,Designing Data-Intensive Apps,Books,62.0,Bilal Faouri,bilal.faouri@email.com,Unknown,2024-01-22,124.0
64,44,2024-03-18,completed,156,10,1,Leather Belt,Clothing,30.0,Maysoon Al-Qadi,maysoon.qadi@email.com,Aqaba,2024-02-01,30.0
64,44,2024-03-18,completed,157,28,1,Medjool Dates 1kg,Food & Beverage,32.0,Maysoon Al-Qadi,maysoon.qadi@email.com,Aqaba,2024-02-01,32.0
65,45,2024-03-19,shipped,158,8,1,Running Shoes,Clothing,78.0,Wael Bani-Hani,wael.banihani@email.com,Salt,2024-02-10,78.0
65,45,2024-03-19,shipped,159,14,1,Kitchen Knife Set,Home & Garden,65.0,Wael Bani-Hani,wael.banihani@email.com,Salt,2024-02-10,65.0
65,45,2024-03-19,shipped,160,22,2,Resistance Band Set,Sports,19.0,Wael Bani-Hani,wael.banihani@email.com,Salt,2024-02-10,38.0
66,46,2024-03-20,completed,161,3,1,Portable Power Bank 10000mAh,Electronics,32.0,Shireen Khasawneh,shireen.khasawneh@email.com,Amman,2024-02-18,32.0
66,46,2024-03-20,completed,162,26,3,Arabic Coffee Blend 500g,Food & Beverage,18.0,Shireen Khasawneh,shireen.khasawneh@email.com,Amman,2024-02-18,54.0
67,47,2024-03-21,completed,164,12,1,LED Desk Lamp,Home & Garden,42.0,Adnan Rousan,adnan.rousan@email.com,Irbid,2024-03-01,42.0
69,49,2024-03-23,completed,167,9,1,Wool Scarf,Clothing,25.0,Firas Dmour,firas.dmour@email.com,Unknown,2024-03-18,25.0
69,49,2024-03-23,completed,168,24,1,Dumbbell Pair 5kg,Sports,35.0,Firas Dmour,firas.dmour@email.com,Unknown,2024-03-18,35.0
69,49,2024-03-23,completed,169,30,2,Mansaf Spice Kit,Food & Beverage,15.0,Firas Dmour,firas.dmour@email.com,Unknown,2024-03-18,30.0
70,50,2024-03-24,completed,170,7,1,Denim Jeans,Clothing,52.0,Eman Shdeifat,eman.shdeifat@email.com,Amman,2024-03-25,52.0
70,50,2024-03-24,completed,171,15,1,Cotton Bed Sheet Set,Home & Garden,48.0,Eman Shdeifat,eman.shdeifat@email.com,Amman,2024-03-25,48.0
71,2,2024-04-01,completed,172,2,2,USB-C Charging Cable,Electronics,8.5,Fatima Al-Husseini,fatima.husseini@email.com,Irbid,2023-01-22,17.0
71,2,2024-04-01,completed,173,11,1,Ceramic Plant Pot,Home & Garden,15.0,Fatima Al-Husseini,fatima.husseini@email.com,Irbid,2023-01-22,15.0
71,2,2024-04-01,completed,174,27,1,Jordanian Olive Oil 1L,Food & Beverage,24.0,Fatima Al-Husseini,fatima.husseini@email.com,Irbid,2023-01-22,24.0
72,4,2024-04-02,shipped,175,4,1,Mechanical Keyboard,Electronics,89.0,Layla Abdallah,layla.abdallah@email.com,Amman,2023-02-10,89.0
72,4,2024-04-02,shipped,176,19,3,The Pragmatic Programmer,Books,48.0,Layla Abdallah,layla.abdallah@email.com,Amman,2023-02-10,144.0
73,7,2024-04-03,completed,177,1,1,Wireless Bluetooth Earbuds,Electronics,45.0,Yousef Haddad,yousef.haddad@email.com,Salt,2023-03-12,45.0
73,7,2024-04-03,completed,178,17,1,Python Data Science Handbook,Books,55.0,Yousef Haddad,yousef.haddad@email.com,Salt,2023-03-12,55.0
74,11,2024-04-04,completed,179,13,2,Stainless Steel Water Bottle,Home & Garden,22.0,Sami Al-Rawashdeh,sami.rawashdeh@email.com,Zarqa,2023-04-18,44.0
74,11,2024-04-04,completed,180,23,1,Jump Rope,Sports,12.0,Sami Al-Rawashdeh,sami.rawashdeh@email.com,Zarqa,2023-04-18,12.0
74,11,2024-04-04,completed,181,25,1,Sports Water Bottle,Sports,14.0,Sami Al-Rawashdeh,sami.rawashdeh@email.com,Zarqa,2023-04-18,14.0
75,14,2024-04-05,processing,182,5,1,Webcam HD 1080p,Electronics,55.0,Rana Abu-Ghazaleh,rana.abughazaleh@email.com,Aqaba,2023-05-14,55.0
75,14,2024-04-05,processing,183,21,2,Yoga Mat,Sports,28.0,Rana Abu-Ghazaleh,rana.abughazaleh@email.com,Aqaba,2023-05-14,56.0
76,18,2024-04-06,completed,184,8,1,Running Shoes,Clothing,78.0,Lina Al-Omari,lina.omari@email.com,Unknown,2023-06-18,78.0
76,18,2024-04-06,completed,185,28,1,Medjool Dates 1kg,Food & Beverage,32.0,Lina Al-Omari,lina.omari@email.com,Unknown,2023-06-18,32.0
78,23,2024-04-08,completed,189,3,2,Portable Power Bank 10000mAh,Electronics,32.0,Basil Malkawi,basil.malkawi@email.com,Irbid,2023-07-28,64.0
78,23,2024-04-08,completed,190,16,1,Introduction to Algorithms,Books,85.0,Basil Malkawi,basil.malkawi@email.com,Irbid,2023-07-28,85.0
79,26,2024-04-09,completed,191,6,1,Cotton T-Shirt,Clothing,18.0,Asma Qudah,asma.qudah@email.com,Amman,2023-08-22,18.0
79,26,2024-04-09,completed,192,22,1,Resistance Band Set,Sports,19.0,Asma Qudah,asma.qudah@email.com,Amman,2023-08-22,19.0
79,26,2024-04-09,completed,193,26,2,Arabic Coffee Blend 500g,Food & Beverage,18.0,Asma Qudah,asma.qudah@email.com,Amman,2023-08-22,36.0
80,29,2024-04-10,shipped,194,12,1,LED Desk Lamp,Home & Garden,42.0,Rashid Al-Ajlouni,rashid.ajlouni@email.com,Amman,2023-09-18,42.0
80,29,2024-04-10,shipped,195,20,1,Clean Code,Books,42.0,Rashid Al-Ajlouni,rashid.ajlouni@email.com,Amman,2023-09-18,42.0
81,32,2024-04-11,completed,196,9,1,Wool Scarf,Clothing,25.0,Ghada Nsour,ghada.nsour@email.com,Irbid,2023-10-12,25.0
81,32,2024-04-11,completed,197,15,2,Cotton Bed Sheet Set,Home & Garden,48.0,Ghada Nsour,ghada.nsour@email.com,Irbid,2023-10-12,96.0
81,32,2024-04-11,completed,198,24,1,Dumbbell Pair 5kg,Sports,35.0,Ghada Nsour,ghada.nsour@email.com,Irbid,2023-10-12,35.0
82,34,2024-04-12,completed,199,7,1,Denim Jeans,Clothing,52.0,Suha Masarweh,suha.masarweh@email.com,Aqaba,2023-10-28,52.0
82,34,2024-04-12,completed,200,18,1,Designing Data-Intensive Apps,Books,62.0,Suha Masarweh,suha.masarweh@email.com,Aqaba,2023-10-28,62.0
